"TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area --- United States, 2009","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area --- United States, 2009.1","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area --- United States, 2009.2","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area --- United States, 2009.3","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area --- United States, 2009.4","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area --- United States, 2009.5","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area --- United States, 2009.6","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area --- United States, 2009.7","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area --- United States, 2009.8","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area --- United States, 2009.9","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area --- United States, 2009.10","TABLE 2. (Continued) Reported cases of notifiable diseases,* by geographic division and area --- United States, 2009.11"
Nebraska,---,---,---,---,---,11,1,1,---,9,7
North Dakota,---,---,---,---,---,2,2,---,---,---,---
South Dakota,---,---,---,---,---,5,---,---,---,5,2
S. Atlantic,14,14,6,8,8,165,76,38,5,46,45
Delaware,---,---,---,---,---,2,---,---,---,2,1
District of Columbia,2,2,---,2,2,---,---,---,---,---,2
Florida,5,5,---,5,5,52,33,12,---,7,18
Georgia,1,1,1,---,---,31,19,6,2,4,---
Maryland,4,4,3,1,1,12,6,6,---,---,8
North Carolina,---,---,---,---,---,31,7,1,2,21,4
South Carolina,---,---,---,---,---,11,4,7,---,---,2
Virginia,1,1,1,---,---,18,4,2,---,12,9
West Virginia,1,1,1,---,---,8,3,4,1,---,1
E.S. Central,1,1,---,1,1,37,9,4,1,23,13
Alabama,---,---,---,---,---,12,4,4,1,3,6
Kentucky,---,---,---,---,---,6,---,---,---,6,1
Mississippi,---,---,---,---,---,4,1,---,---,3,1
Tennessee,1,1,---,1,1,15,4,---,---,11,5
W.S. Central,1,1,---,1,1,96,41,19,2,34,48
Arkansas,---,---,---,---,---,9,6,1,---,2,4
Louisiana,---,---,---,---,---,18,---,---,---,18,1
Oklahoma,---,---,---,---,---,16,6,7,2,1,3
Texas,1,1,---,1,1,53,29,11,---,13,40
Mountain,---,---,---,---,---,68,47,8,6,7,27
Arizona,---,---,---,---,---,15,9,1,4,1,10
Colorado,---,---,---,---,---,24,19,4,1,---,6
Idaho,---,---,---,---,---,7,4,---,---,3,3
Montana,---,---,---,---,---,5,4,1,---,---,---
Nevada,---,---,---,---,---,6,5,---,---,1,3
New Mexico,---,---,---,---,---,3,3,---,---,---,1
Utah,---,---,---,---,---,3,2,1,---,---,4
Wyoming,---,---,---,---,---,5,1,1,1,2,---
Pacific,10,10,6,4,4,210,11,13,1,185,35
Alaska,---,---,---,---,---,6,---,---,---,6,6
California,9,9,6,3,3,131,---,---,---,131,16
Hawaii,---,---,---,---,---,5,1,---,1,3,5
Oregon,---,---,---,---,---,43,---,---,---,43,2
Washington,1,1,---,1,1,25,10,13,---,2,6
Territories,Territories,Territories,Territories,Territories,Territories,Territories,Territories,Territories,Territories,Territories,Territories
American Samoa,---,---,---,---,---,---,---,---,---,---,---
C.N.M.I.,---,---,---,---,---,---,---,---,---,---,---
Guam,---,---,---,---,---,---,---,---,---,---,---
Puerto Rico,---,---,---,---,---,1,---,---,---,1,6
U.S. Virgin Islands,---,---,---,---,---,---,---,---,---,---,---
N: Not reportable. U: Unavailable. ---: No reported cases. C.N.M.I.: Commonwealth of Northern Mariana Islands.  ¶¶ Imported cases include only those directly related to importation from other countries.,N: Not reportable. U: Unavailable. ---: No reported cases. C.N.M.I.: Commonwealth of Northern Mariana Islands.  ¶¶ Imported cases include only those directly related to importation from other countries.,N: Not reportable. U: Unavailable. ---: No reported cases. C.N.M.I.: Commonwealth of Northern Mariana Islands.  ¶¶ Imported cases include only those directly related to importation from other countries.,N: Not reportable. U: Unavailable. ---: No reported cases. C.N.M.I.: Commonwealth of Northern Mariana Islands.  ¶¶ Imported cases include only those directly related to importation from other countries.,N: Not reportable. U: Unavailable. ---: No reported cases. C.N.M.I.: Commonwealth of Northern Mariana Islands.  ¶¶ Imported cases include only those directly related to importation from other countries.,N: Not reportable. U: Unavailable. ---: No reported cases. C.N.M.I.: Commonwealth of Northern Mariana Islands.  ¶¶ Imported cases include only those directly related to importation from other countries.,N: Not reportable. U: Unavailable. ---: No reported cases. C.N.M.I.: Commonwealth of Northern Mariana Islands.  ¶¶ Imported cases include only those directly related to importation from other countries.,N: Not reportable. U: Unavailable. ---: No reported cases. C.N.M.I.: Commonwealth of Northern Mariana Islands.  ¶¶ Imported cases include only those directly related to importation from other countries.,N: Not reportable. U: Unavailable. ---: No reported cases. C.N.M.I.: Commonwealth of Northern Mariana Islands.  ¶¶ Imported cases include only those directly related to importation from other countries.,N: Not reportable. U: Unavailable. ---: No reported cases. C.N.M.I.: Commonwealth of Northern Mariana Islands.  ¶¶ Imported cases include only those directly related to importation from other countries.,N: Not reportable. U: Unavailable. ---: No reported cases. C.N.M.I.: Commonwealth of Northern Mariana Islands.  ¶¶ Imported cases include only those directly related to importation from other countries.,N: Not reportable. U: Unavailable. ---: No reported cases. C.N.M.I.: Commonwealth of Northern Mariana Islands.  ¶¶ Imported cases include only those directly related to importation from other countries.
