0,1,2,3,4,5,6,7,8
Georgia,2,2,—,11,5,2,—,4
Maryland,—,—,—,4,3,1,—,—
North Carolina,—,—,—,6,3,2,—,1
South Carolina,—,—,—,5,2,1,2,—
Virginia,—,—,—,5,—,1,—,4
West Virginia,—,—,—,4,2,1,—,1
E.S. Central,—,—,—,17,10,3,1,3
Alabama,—,—,—,6,3,—,1,2
Kentucky,—,—,—,1,1,—,—,—
Mississippi,—,—,—,3,—,2,—,1
Tennessee,—,—,—,7,6,1,—,—
W.S. Central,4,2,2,58,27,21,2,8
Arkansas,4,2,2,8,5,3,—,—
Louisiana,—,—,—,4,—,—,—,4
Oklahoma,—,—,—,9,3,4,2,—
Texas,—,—,—,37,19,14,—,4
Mountain,5,5,—,41,20,6,2,13
Arizona,2,2,—,6,6,—,—,—
Colorado,—,—,—,6,2,4,—,—
Idaho,—,—,—,4,1,—,—,3
Montana,—,—,—,10,4,2,1,3
Nevada,—,—,—,3,1,—,—,2
New Mexico,2,2,—,5,1,—,1,3
Utah,1,1,—,4,2,—,—,2
Wyoming,—,—,—,3,3,—,—,—
Pacific,9,5,4,140,26,19,3,92
Alaska,—,—,—,2,—,—,—,2
California,8,5,3,87,—,—,—,87
Hawaii,—,—,—,2,—,—,—,2
Oregon,1,—,1,25,14,10,—,1
Washington,—,—,—,24,12,9,3,—
Territories,,,,,,,,
American Samoa,—,—,—,—,—,—,—,—
C.N.M.I.,—,—,—,—,—,—,—,—
Guam,—,—,—,—,—,—,—,—
Puerto Rico,2,2,—,—,—,—,—,—
U.S. Virgin Islands,—,—,—,—,—,—,—,—
"Abbreviations: N = not reportable; U = unavailable; — = no reported cases; CNMI = Commonwealth of the Northern Mariana Islands.  *	No cases of anthrax; eastern equine encephalitis virus disease, nonneuroinvasive; poliomyelitis, paralytic; poliovirus infection, nonparalytic; Powassan virus nonneuroinvasive disease; severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV); smallpox; western equine encephalitis virus disease, neuroinvasive and non-neuroinvasive; yellow fever; and viral hemorrhagic fevers were reported in the United States during 2012. Data on chronic hepatitis B and hepatitis C virus infection (past or present) are not included because they are undergoing data quality review.","Abbreviations: N = not reportable; U = unavailable; — = no reported cases; CNMI = Commonwealth of the Northern Mariana Islands.  *	No cases of anthrax; eastern equine encephalitis virus disease, nonneuroinvasive; poliomyelitis, paralytic; poliovirus infection, nonparalytic; Powassan virus nonneuroinvasive disease; severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV); smallpox; western equine encephalitis virus disease, neuroinvasive and non-neuroinvasive; yellow fever; and viral hemorrhagic fevers were reported in the United States during 2012. Data on chronic hepatitis B and hepatitis C virus infection (past or present) are not included because they are undergoing data quality review.","Abbreviations: N = not reportable; U = unavailable; — = no reported cases; CNMI = Commonwealth of the Northern Mariana Islands.  *	No cases of anthrax; eastern equine encephalitis virus disease, nonneuroinvasive; poliomyelitis, paralytic; poliovirus infection, nonparalytic; Powassan virus nonneuroinvasive disease; severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV); smallpox; western equine encephalitis virus disease, neuroinvasive and non-neuroinvasive; yellow fever; and viral hemorrhagic fevers were reported in the United States during 2012. Data on chronic hepatitis B and hepatitis C virus infection (past or present) are not included because they are undergoing data quality review.","Abbreviations: N = not reportable; U = unavailable; — = no reported cases; CNMI = Commonwealth of the Northern Mariana Islands.  *	No cases of anthrax; eastern equine encephalitis virus disease, nonneuroinvasive; poliomyelitis, paralytic; poliovirus infection, nonparalytic; Powassan virus nonneuroinvasive disease; severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV); smallpox; western equine encephalitis virus disease, neuroinvasive and non-neuroinvasive; yellow fever; and viral hemorrhagic fevers were reported in the United States during 2012. Data on chronic hepatitis B and hepatitis C virus infection (past or present) are not included because they are undergoing data quality review.","Abbreviations: N = not reportable; U = unavailable; — = no reported cases; CNMI = Commonwealth of the Northern Mariana Islands.  *	No cases of anthrax; eastern equine encephalitis virus disease, nonneuroinvasive; poliomyelitis, paralytic; poliovirus infection, nonparalytic; Powassan virus nonneuroinvasive disease; severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV); smallpox; western equine encephalitis virus disease, neuroinvasive and non-neuroinvasive; yellow fever; and viral hemorrhagic fevers were reported in the United States during 2012. Data on chronic hepatitis B and hepatitis C virus infection (past or present) are not included because they are undergoing data quality review.","Abbreviations: N = not reportable; U = unavailable; — = no reported cases; CNMI = Commonwealth of the Northern Mariana Islands.  *	No cases of anthrax; eastern equine encephalitis virus disease, nonneuroinvasive; poliomyelitis, paralytic; poliovirus infection, nonparalytic; Powassan virus nonneuroinvasive disease; severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV); smallpox; western equine encephalitis virus disease, neuroinvasive and non-neuroinvasive; yellow fever; and viral hemorrhagic fevers were reported in the United States during 2012. Data on chronic hepatitis B and hepatitis C virus infection (past or present) are not included because they are undergoing data quality review.","Abbreviations: N = not reportable; U = unavailable; — = no reported cases; CNMI = Commonwealth of the Northern Mariana Islands.  *	No cases of anthrax; eastern equine encephalitis virus disease, nonneuroinvasive; poliomyelitis, paralytic; poliovirus infection, nonparalytic; Powassan virus nonneuroinvasive disease; severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV); smallpox; western equine encephalitis virus disease, neuroinvasive and non-neuroinvasive; yellow fever; and viral hemorrhagic fevers were reported in the United States during 2012. Data on chronic hepatitis B and hepatitis C virus infection (past or present) are not included because they are undergoing data quality review.","Abbreviations: N = not reportable; U = unavailable; — = no reported cases; CNMI = Commonwealth of the Northern Mariana Islands.  *	No cases of anthrax; eastern equine encephalitis virus disease, nonneuroinvasive; poliomyelitis, paralytic; poliovirus infection, nonparalytic; Powassan virus nonneuroinvasive disease; severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV); smallpox; western equine encephalitis virus disease, neuroinvasive and non-neuroinvasive; yellow fever; and viral hemorrhagic fevers were reported in the United States during 2012. Data on chronic hepatitis B and hepatitis C virus infection (past or present) are not included because they are undergoing data quality review.","Abbreviations: N = not reportable; U = unavailable; — = no reported cases; CNMI = Commonwealth of the Northern Mariana Islands.  *	No cases of anthrax; eastern equine encephalitis virus disease, nonneuroinvasive; poliomyelitis, paralytic; poliovirus infection, nonparalytic; Powassan virus nonneuroinvasive disease; severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV); smallpox; western equine encephalitis virus disease, neuroinvasive and non-neuroinvasive; yellow fever; and viral hemorrhagic fevers were reported in the United States during 2012. Data on chronic hepatitis B and hepatitis C virus infection (past or present) are not included because they are undergoing data quality review."
